,Date,Open,High,Low,Close,Volume,Adj Close
1071,2019-05-24,10313.15,10370.97,10308.59,10328.28,103058357,10328.28
1072,2019-05-27,10344.18,10365.44,10305.28,10334.13,92744163,10334.13
1073,2019-05-28,10348.58,10361.61,10312.31,10312.31,154867598,10312.31
1074,2019-05-29,10277.35,10307.75,10227.44,10301.78,95440592,10301.78
1075,2019-05-30,10307.12,10384.36,10306.03,10382.99,99248431,10382.99
1076,2019-05-31,10386.12,10515.1,10369.02,10498.49,126396386,10498.49
1077,2019-06-03,10482.45,10511.2,10383.51,10500.07,97423329,10500.07
1078,2019-06-04,10499.51,10518.33,10421.81,10429.12,89544975,10429.12
1079,2019-06-05,10497.5,10541.29,10446.51,10461.62,99778803,10461.62
1080,2019-06-06,10409.9,10429.33,10371.08,10409.2,99333308,10409.2
1081,2019-06-10,10486.23,10566.47,10466.24,10566.47,109286849,10566.47
1082,2019-06-11,10567.54,10637.9,10548.06,10607.76,123163833,10607.76
1083,2019-06-12,10605.75,10630.69,10566.37,10615.66,103154378,10615.66
1084,2019-06-13,10582.19,10617.06,10539.49,10561.01,97958419,10561.01
1085,2019-06-14,10546.42,10568.92,10517.82,10524.67,85539325,10524.67
1086,2019-06-17,10488.7,10562.97,10474.19,10530.54,89501173,10530.54
1087,2019-06-18,10547.15,10573.77,10521.7,10566.74,80983143,10566.74
1088,2019-06-19,10650.48,10778.64,10650.48,10775.34,142307299,10775.34
1089,2019-06-20,10749.41,10799.14,10745.25,10785.01,129170844,10785.01
1090,2019-06-21,10817.71,10840.29,10773.47,10803.77,152619677,10803.77
1091,2019-06-24,10734.25,10786.33,10695.49,10779.45,97539681,10779.45
1092,2019-06-25,10777.18,10787.62,10693.04,10706.72,101431614,10706.72
1093,2019-06-26,10661.39,10690.98,10645.37,10652.55,87513870,10652.55
1094,2019-06-27,10674.2,10800.29,10674.2,10773.9,126742375,10773.9
1095,2019-06-28,10786.66,10788.08,10719.08,10730.83,91418250,10730.83
1096,2019-07-01,10821.3,10914.85,10821.3,10895.46,145664097,10895.46
1097,2019-07-02,10878.01,10888.21,10843.64,10865.12,120716165,10865.12
1098,2019-07-03,10793.1,10812.65,10720.66,10743.77,112714237,10743.77
1099,2019-07-04,10755.87,10791.28,10750.9,10775.9,98158438,10775.9
1100,2019-07-05,10785.85,10812.38,10756.67,10785.73,86511212,10785.73
1101,2019-07-08,10742.81,10781.11,10708.92,10751.22,97082028,10751.22
1102,2019-07-09,10729.83,10733.57,10680.85,10702.78,94204036,10702.78
1103,2019-07-10,10723.23,10810.16,10723.23,10798.48,104197474,10798.48
1104,2019-07-11,10817.6,10856.51,10799.65,10843.42,132057394,10843.42
1105,2019-07-12,10855.16,10867.59,10823.89,10824.35,122217270,10824.35
1106,2019-07-15,10819.92,10880.56,10769.57,10876.43,120541530,10876.43
1107,2019-07-16,10865.0,10899.84,10865.0,10886.05,119695164,10886.05
1108,2019-07-17,10861.11,10861.11,10804.34,10828.48,116341168,10828.48
1109,2019-07-18,10821.92,10835.43,10792.27,10799.28,106205766,10799.28
1110,2019-07-19,10861.99,10919.96,10861.99,10873.19,123566685,10873.19
1111,2019-07-22,10910.5,10949.76,10909.15,10944.53,118654133,10944.53
1112,2019-07-23,10963.86,10994.44,10932.53,10947.26,127879150,10947.26
1113,2019-07-24,10969.74,10976.46,10912.92,10935.76,133129096,10935.76
1114,2019-07-25,10892.25,10945.92,10879.4,10941.41,133885703,10941.41
1115,2019-07-26,10898.25,10907.44,10879.24,10891.98,111794837,10891.98
1116,2019-07-29,10872.63,10905.74,10863.33,10885.73,105524747,10885.73
1117,2019-07-30,10909.98,10927.16,10827.74,10830.9,131409614,10830.9
1118,2019-07-31,10824.15,10835.8,10754.07,10823.81,131643019,10823.81
1119,2019-08-01,10773.06,10773.25,10714.73,10731.75,131058985,10731.75
1120,2019-08-02,10641.28,10641.28,10524.68,10549.04,159939136,10549.04
1121,2019-08-05,10528.87,10542.49,10418.25,10423.41,129390817,10423.41
1122,2019-08-06,10304.88,10425.6,10180.04,10394.75,146038030,10394.75
1123,2019-08-07,10422.89,10461.37,10366.54,10386.18,121765614,10386.18
1124,2019-08-08,10383.62,10500.77,10383.62,10494.49,124081823,10494.49
1125,2019-08-12,10491.79,10514.05,10440.77,10472.36,126685738,10472.36
1126,2019-08-13,10436.62,10436.62,10361.89,10362.66,119357519,10362.66
1127,2019-08-14,10444.5,10518.02,10427.73,10427.73,146152949,10427.73
1128,2019-08-15,10374.75,10374.75,10287.76,10327.13,123132995,10327.13
1129,2019-08-16,10345.42,10456.32,10318.37,10420.89,120048343,10420.89
1130,2019-08-19,10449.39,10516.05,10449.39,10488.75,120476924,10488.75
1131,2019-08-20,10508.42,10538.12,10497.13,10522.5,121491792,10522.5
1132,2019-08-21,10526.87,10545.25,10504.49,10525.8,111080425,10525.8
1133,2019-08-22,10560.01,10596.41,10515.72,10529.78,123271367,10529.78
1134,2019-08-23,10526.15,10541.73,10503.07,10538.11,110007554,10538.11
1135,2019-08-26,10453.4,10453.4,10340.15,10354.57,117049586,10354.57
